last name,first name
Beal,Bradley
LaVine,Zach
Ayton,Deandre
Brunson,Jalen
Simons,Anfernee
Dort,Luguentz
Nurkic,Jusuf
Harden,James
Robinson,Mitchell
Portis,Bobby
BagleyIII,Marvin
Boucher,Chris
Tucker,P.J.
Martin,Cody
Jones,Tyus
PaytonII,Gary
Batum,Nicolas
Looney,Kevon
Tate,Jae’Sean
Bamba,Mohamed
Martin,Caleb
Monk,Malik
Rubio,Ricky
Oladipo,Victor
Anderson,Kyle
Claxton,Nicolas
McGee,JaVale
Hartenstein,Isaiah
Wright,Delon
Smith,Jalen
Gallinari,Danilo
Mills,Patty
Wall,John
BrownJr.,Bruce
PorterJr.,Otto
Coffey,Amir
DiVincenzo,Donte
Dedmon,Dewayne
HouseJr.,Danuel
Muscala,Mike
Cancar,Vlatko
JonesJr.,Derrick
Drummond,Andre
Ingles,Joe
WalkerIV,Lonnie
Knox,Kevin
Nwora,Jordan
Sims,Jericho
Hauser,Sam
Harrell,Montrezl
Jones,Damian
Kornet,Luke
Wilson,DJ
Bol,Bol
Wieskamp,Joe
Carter,Jevon
Okpala,KZ
Reed,Davon
Knight,Nathan
Gill,Anthony
Champagnie,Justin
Edwards,Kessler
Griffin,Blake
Iguodala,Andre
Haslem,Udonis
Dragic,Goran
Rivers,Austin
Gibson,Taj
Ibaka,Serge
Jordan,DeAndre
Lopez,Robin
Matthews,Wesley
Biyombo,Bismack
Schröder,Dennis
Dieng,Gorgui
Green,JaMychal
Dellavedova,Matthew
Warren,T.J.
Kaminsky,Frank
Neto,Raul
Layman,Jake
McGruder,Rodney
Hernangomez,Juancho
Forbes,Bryn
Jackson,Frank
Arcidiacono,Ryan
Jackson,Josh
Bryant,Thomas
Lee,Damion
BrownJr.,Troy
Chiozza,Chris
Watanabe,Yuta
Eubanks,Drew
Holiday,Aaron
Pinson,Theo
Okogie,Josh
Cook,Tyler
Mulder,Mychal
Cacok,Devontae
Brown,Moses
Tucker,Rayjon
Toscano-Anderson,Juan
Campazzo,Facundo
Hughes,Elijah
Mays,Skylar
Scrubb,Jay
Fitts,Malik
Lamb,Anthony
WoodardII,Robert
Thomas,Brodric
Hinton,Nate
Elleby,CJ
Vildoza,Luca
Johnson,David
Ryan,Matt
Cooper,Sharife
York,Gabe
Pickett,Jamorko
WrightIV,McKinley
Moon,Xavier
Wigginton,Lindell
Queen,Trevelin
Fernando,Bruno
DukeJr.,David
Culver,Jarrett
Hill,Malcolm
Forrest,Trent
Wainright,Ishmail
WashingtonJr.,Duane
Schofield,Admiral
Weatherspoon,Quinndary
Nembhard,R.J.
Queta,Neemias
Bledsoe,Eric
Lamb,Jeremy
Bradley,Avery
Sexton,Collin
Williams,Louis
Bridges,Miles
Aldridge,LaMarcus
Millsap,Paul
Ellington,Wayne
Howard,Dwight
Davis,Ed
Anthony,Carmelo
Rondo,Rajon
Morris,Markieff
Bazemore,Kent
Whiteside,Hassan
McLemore,Ben
Snell,Tony
Hood,Rodney
Payton,Elfrid
Bjelica,Nemanja
Bonga,Isaac
Thomas,Matt
Paschall,Eric
Stauskas,Nik
Garza,Luka
Thompson,Tristan
Edwards,Carsen
Stephenson,Lance
Cousins,DeMarcus
Augustin,D.J.
Satoransky,Tomas
Thomas,Isaiah
Monroe,Greg
Goodwin,Brandon
Harper,Jared
Wright,Moses
Winston,Cassius
Clark,Gary
Jones,Mason
Pons,Yves
McClung,Mac
Lewis,Scottie
Kulboka,Arnoldas
Smart,Javonte
Powell,Myles
Blevins,Keljin
Brazdeikis,Ignas
Howard,Markus
Lundberg,Gabriel
Frazier,Melvin
